"header","digits2","digits6","digits6_des","notes","SICs","SIC_exclu","SIC","SIC_n"
"AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010100","Dairy farm products",,"024,019, 0259, 029",,"0190","16"
"AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010100","Dairy farm products",,"024,019, 0259, 029",,"0191","16"
"AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010100","Dairy farm products",,"024,019, 0259, 029",,"0192","16"
"AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010100","Dairy farm products",,"024,019, 0259, 029",,"0193","16"
"AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010100","Dairy farm products",,"024,019, 0259, 029",,"0194","16"
"AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010100","Dairy farm products",,"024,019, 0259, 029",,"0195","16"
"AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010100","Dairy farm products",,"024,019, 0259, 029",,"0196","16"
"AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010100","Dairy farm products",,"024,019, 0259, 029",,"0197","16"
"AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010100","Dairy farm products",,"024,019, 0259, 029",,"0198","16"
"AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010100","Dairy farm products",,"024,019, 0259, 029",,"0199","16"
"AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010100","Dairy farm products",,"024,019, 0259, 029",,"0240","1"
"AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010100","Dairy farm products",,"024,019, 0259, 029",,"0241","1"
"AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010100","Dairy farm products",,"024,019, 0259, 029",,"0242","1"
"AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010100","Dairy farm products",,"024,019, 0259, 029",,"0243","1"
"AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010100","Dairy farm products",,"024,019, 0259, 029",,"0244","1"
"AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010100","Dairy farm products",,"024,019, 0259, 029",,"0245","1"
"AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010100","Dairy farm products",,"024,019, 0259, 029",,"0246","1"
"AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010100","Dairy farm products",,"024,019, 0259, 029",,"0247","1"
"AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010100","Dairy farm products",,"024,019, 0259, 029",,"0248","1"
"AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010100","Dairy farm products",,"024,019, 0259, 029",,"0249","1"
"AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010100","Dairy farm products",,"024,019, 0259, 029",,"0259","17"
"AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010100","Dairy farm products",,"024,019, 0259, 029",,"0290","17"
"AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010100","Dairy farm products",,"024,019, 0259, 029",,"0291","17"
"AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010100","Dairy farm products",,"024,019, 0259, 029",,"0292","17"
"AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010100","Dairy farm products",,"024,019, 0259, 029",,"0293","17"
"AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010100","Dairy farm products",,"024,019, 0259, 029",,"0294","17"
"AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010100","Dairy farm products",,"024,019, 0259, 029",,"0295","17"
"AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010100","Dairy farm products",,"024,019, 0259, 029",,"0296","17"
"AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010100","Dairy farm products",,"024,019, 0259, 029",,"0297","17"
"AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010100","Dairy farm products",,"024,019, 0259, 029",,"0298","17"
"AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010100","Dairy farm products",,"024,019, 0259, 029",,"0299","17"
"AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010200","Poultry and eggs",,"0251-3, 0259, 019, 0219,029",,"0190","16"
"AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010200","Poultry and eggs",,"0251-3, 0259, 019, 0219,029",,"0191","16"
"AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010200","Poultry and eggs",,"0251-3, 0259, 019, 0219,029",,"0192","16"
"AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010200","Poultry and eggs",,"0251-3, 0259, 019, 0219,029",,"0193","16"
"AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010200","Poultry and eggs",,"0251-3, 0259, 019, 0219,029",,"0194","16"
"AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010200","Poultry and eggs",,"0251-3, 0259, 019, 0219,029",,"0195","16"
"AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010200","Poultry and eggs",,"0251-3, 0259, 019, 0219,029",,"0196","16"
"AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010200","Poultry and eggs",,"0251-3, 0259, 019, 0219,029",,"0197","16"
"AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010200","Poultry and eggs",,"0251-3, 0259, 019, 0219,029",,"0198","16"
"AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010200","Poultry and eggs",,"0251-3, 0259, 019, 0219,029",,"0199","16"
"AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010200","Poultry and eggs",,"0251-3, 0259, 019, 0219,029",,"0219","16"
"AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010200","Poultry and eggs",,"0251-3, 0259, 019, 0219,029",,"0251","1"
"AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010200","Poultry and eggs",,"0251-3, 0259, 019, 0219,029",,"0252","1"
"AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010200","Poultry and eggs",,"0251-3, 0259, 019, 0219,029",,"0253","1"
"AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010200","Poultry and eggs",,"0251-3, 0259, 019, 0219,029",,"0259","17"
"AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010200","Poultry and eggs",,"0251-3, 0259, 019, 0219,029",,"0290","17"
"AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010200","Poultry and eggs",,"0251-3, 0259, 019, 0219,029",,"0291","17"
"AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010200","Poultry and eggs",,"0251-3, 0259, 019, 0219,029",,"0292","17"
"AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010200","Poultry and eggs",,"0251-3, 0259, 019, 0219,029",,"0293","17"
"AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010200","Poultry and eggs",,"0251-3, 0259, 019, 0219,029",,"0294","17"
"AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010200","Poultry and eggs",,"0251-3, 0259, 019, 0219,029",,"0295","17"
"AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010200","Poultry and eggs",,"0251-3, 0259, 019, 0219,029",,"0296","17"
"AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010200","Poultry and eggs",,"0251-3, 0259, 019, 0219,029",,"0297","17"
"AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010200","Poultry and eggs",,"0251-3, 0259, 019, 0219,029",,"0298","17"
"AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010200","Poultry and eggs",,"0251-3, 0259, 019, 0219,029",,"0299","17"
"AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010301","Meat animals",,"0211-4, 0219, 019, 0259 ,029",,"0190","16"
"AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010301","Meat animals",,"0211-4, 0219, 019, 0259 ,029",,"0191","16"
"AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010301","Meat animals",,"0211-4, 0219, 019, 0259 ,029",,"0192","16"
"AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010301","Meat animals",,"0211-4, 0219, 019, 0259 ,029",,"0193","16"
"AGRICULTURE, FORESTRY, AND FISHERIES","1 Livestock and livestock products","010301","Meat animals",,"0211-4, 0219, 019, 0259 ,029",,"0194","16"
