"source","destination","flow"
"010100","910000",94.3
"010200","910000",1892
"010301","910000",0
"010302","910000",1103.2
"020100","910000",0
"020201","910000",0
"020202","910000",173.9
"020203","910000",0
"020300","910000",0
"020401","910000",4287.3
"020402","910000",225.4
"020501","910000",6760.5
"020502","910000",0
"020503","910000",0
"020600","910000",20
"020702","910000",4214.7
"030001","910000",1147.4
"030002","910000",2615.1
"040001","910000",646.5
"040002","910000",0
"050000","910000",0
"060100","910000",0
"060200","910000",0
"070000","910000",138.1
"080000","910000",0
"090001","910000",0
"090002","910000",0
"090003","910000",0
"090004","910000",34.6
"100000","910000",1.6
"110101","910000",0
"110102","910000",0
"110103","910000",0
"110104","910000",0
"110105","910000",0
"110106","910000",0
"110107","910000",0
"110201","910000",0
"110202","910000",0
"110203","910000",0
"110204","910000",0
"110205","910000",0
"110206","910000",0
"110207","910000",0
"110231","910000",0
"110232","910000",0
"110241","910000",0
"110250","910000",0
"110301","910000",0
"110302","910000",0
"110303","910000",0
"110304","910000",0
"110305","910000",0
"110306","910000",0
"110307","910000",0
"110308","910000",0
"110400","910000",0
"110501","910000",0
"110502","910000",0
"110601","910000",0
"110602","910000",0
"110603","910000",0
"110701","910000",0
"110702","910000",0
"110703","910000",0
"110704","910000",0
"120100","910000",0
"120201","910000",0
"120202","910000",0
"120203","910000",0
"120204","910000",0
"120205","910000",0
"120206","910000",0
"120207","910000",0
"120208","910000",0
"120209","910000",0
"120210","910000",0
"120211","910000",0
"120212","910000",0
"120213","910000",0
"120214","910000",0
"120215","910000",0
"120216","910000",0
"130100","910000",0
"130200","910000",0
"130300","910000",0
"130500","910000",693.3
"130600","910000",405.7
"130700","910000",0
"140101","910000",18057.8
"140102","910000",16353.7
"140105","910000",8784.7
"140200","910000",684
"140300","910000",4448.3
"140400","910000",2558.4
"140500","910000",1701.2
"140600","910000",12369.6
"140700","910000",1854.9
"140800","910000",3953.5
"140900","910000",9822.2
"141000","910000",1596.7
"141100","910000",2987.6
"141200","910000",811.7
"141301","910000",3571.8
"141302","910000",5083
"141401","910000",701.8
"141402","910000",4778.1
"141403","910000",2679.6
"141501","910000",4596.8
"141502","910000",659.7
"141600","910000",422.7
"141700","910000",770.9
"141801","910000",13401.5
"141802","910000",4868.9
"141803","910000",1341
"141900","910000",1570.4
"142001","910000",7680.6
"142002","910000",1024.1
"142003","910000",915
"142004","910000",946
"142101","910000",13073.5
"142102","910000",0
"142103","910000",3626.1
"142104","910000",4214.7
"142200","910000",17931
"142300","910000",1953.1
"142400","910000",0
"142500","910000",23.6
"142600","910000",0
"142700","910000",0
"142800","910000",3696.6
"142900","910000",1347.9
"143000","910000",246
"143100","910000",964.1
"143201","910000",5082
"143202","910000",7998.3
"150101","910000",19557.6
"150102","910000",357.6
"150103","910000",858.5
"150200","910000",0
"160100","910000",669.3
"160200","910000",92.7
"160300","910000",211.6
"160400","910000",73.1
"170100","910000",4654.1
"170600","910000",0
"170700","910000",0
"170900","910000",122
"171001","910000",197.9
"171100","910000",17.8
"180101","910000",1404.8
"180102","910000",1728.1
"180300","910000",290.2
"180400","910000",67730.2
"190100","910000",1362.8
"190200","910000",6443.8
"190301","910000",126.3
"190302","910000",352.5
"190303","910000",312.2
"190304","910000",601.1
"190305","910000",53.3
"190306","910000",835.5
"200100","910000",0
"200200","910000",0
"200300","910000",0
"200400","910000",0
"200501","910000",0
"200502","910000",0
"200600","910000",0
"200701","910000",0
"200702","910000",0
"200703","910000",0
"200800","910000",0
"200901","910000",0
"200903","910000",1819.9
"200904","910000",0
"210000","910000",0
"220101","910000",8615.5
"220102","910000",365.3
"220103","910000",18.2
"220200","910000",4561.9
"220300","910000",1810.1
"220400","910000",2480.3
"230100","910000",0
"230200","910000",0
"230300","910000",0
"230400","910000",0
"230500","910000",0
"230600","910000",1568.5
"230700","910000",49.2
"240100","910000",0
"240400","910000",96.8
"240500","910000",8698
"240701","910000",406
"240702","910000",511.3
"240703","910000",0
"240705","910000",540.5
"240706","910000",1200.6
"240800","910000",448.7
"250000","910000",292
"260100","910000",6334
"260200","910000",5406.5
"260301","910000",7668.1
"260302","910000",0
"260400","910000",710.9
"260501","910000",399.6
"260601","910000",0
"260602","910000",331.9
"260700","910000",1812.4
"260802","910000",0
"260803","910000",0
"260806","910000",0
"270100","910000",139.4
"270201","910000",98.3
"270300","910000",685.9
"270401","910000",192.2
"270402","910000",239.7
"270403","910000",0
"270404","910000",0
"270405","910000",0
"270406","910000",406.3
"280100","910000",0
"280200","910000",0
"280300","910000",0
"280400","910000",0
"290100","910000",23957.5
"290201","910000",7208.4
"290202","910000",3843.4
"290203","910000",0
"290300","910000",13967.1
"300000","910000",194
"310101","910000",58981
"310102","910000",1188.4
"310103","910000",19.7
"310200","910000",0
"310300","910000",0
"320100","910000",5200.6
"320200","910000",2800.8
"320300","910000",767.5
"320400","910000",2643.7
"320500","910000",194.7
"320600","910000",61.8
"330001","910000",0
"340100","910000",1
"340201","910000",9279.1
"340202","910000",211.4
"340301","910000",241.9
"340302","910000",1566.9
"340303","910000",1437.9
"340304","910000",537.3
"340305","910000",343.5
"350100","910000",1480.7
"350200","910000",36.9
"360100","910000",0
"360200","910000",0
"360300","910000",0
"360400","910000",0
"360500","910000",0
"360600","910000",0
"360701","910000",227
"360702","910000",502.6
"360800","910000",0
"360900","910000",1059.2
"361000","910000",0
"361100","910000",4.4
"361200","910000",0
"361300","910000",0
"361400","910000",0
"361500","910000",466.2
"361600","910000",214
"361700","910000",0
"361900","910000",113.1
"362000","910000",0
"362100","910000",0
"362200","910000",118.5
"370101","910000",0
"370102","910000",0
"370103","910000",8.6
"370200","910000",0
"370300","910000",0
"370401","910000",0
"370402","910000",2.6
"380100","910000",0
"380400","910000",0
"380501","910000",0
"380700","910000",0
"380800","910000",0
"380900","910000",0
"381000","910000",53.6
"381100","910000",18.3
"381200","910000",0
"381300","910000",0
"381400","910000",0
"390100","910000",0
"390200","910000",0
"400100","910000",0
"400200","910000",0
"400300","910000",444.9
"400400","910000",0
"400500","910000",0
"400600","910000",0
"400700","910000",0
"400800","910000",0
