"source","destination","flow","dest_output","flow_per"
"880000","010100",848.7,18507.1,0.0458580760897169
"890000","010100",80.6,18507.1,0.00435508534562411
"900000","010100",1928.2,18507.1,0.104187041729931
"880000","010200",542.9,11850.3,0.0458131861640634
"890000","010200",28.6,11850.3,0.00241344100993224
"900000","010200",2561.8,11850.3,0.216180181092462
"880000","010301",1684.1,53966.3,0.031206512212251
"890000","010301",950,53966.3,0.0176035785295638
"900000","010301",5537.1,53966.3,0.102602920711629
"880000","010302",208.3,3160.6,0.0659052078719231
"890000","010302",31.3,3160.6,0.00990318293994811
"900000","010302",672.8,3160.6,0.212870973865722
"880000","020100",334.5,4816.7,0.0694458861876389
"890000","020100",101.9,4816.7,0.0211555629372807
"900000","020100",1281.5,4816.7,0.266053522120954
"880000","020201",169.5,6973.6,0.0243059538832167
"890000","020201",263,6973.6,0.0377136629574395
"900000","020201",2232.2,6973.6,0.320092921876792
"880000","020202",590.6,30163.5,0.0195799559069737
"890000","020202",1233.6,30163.5,0.0408971107464319
"900000","020202",12940.4,30163.5,0.429008569960383
"880000","020203",6.3,516.3,0.0122022080185938
"890000","020203",2.1,516.3,0.00406740267286461
"900000","020203",357.5,516.3,0.692426883594809
"880000","020300",135.2,1909,0.0708224201152436
"890000","020300",84.6,1909,0.044316396018858
"900000","020300",515.9,1909,0.270246202200105
"880000","020401",1063.7,7114.8,0.149505256648114
"890000","020401",142,7114.8,0.0199583965817732
"900000","020401",2366.7,7114.8,0.332644628099174
"880000","020402",193.1,1272.9,0.151700840600204
"890000","020402",19.1,1272.9,0.015005106449839
"900000","020402",615.4,1272.9,0.483462958598476
"880000","020501",1161.1,10545.3,0.110105923966127
"890000","020501",148.8,10545.3,0.0141105516201531
"900000","020501",5589.8,10545.3,0.53007500971997
"880000","020502",36.9,1888.4,0.0195403516204194
"890000","020502",50.1,1888.4,0.0265303961025207
"900000","020502",1269.3,1888.4,0.672156322812963
"880000","020503",32.1,582.4,0.0551167582417583
"890000","020503",11.5,582.4,0.0197458791208791
"900000","020503",357.1,582.4,0.613152472527473
"880000","020600",515.5,11728.9,0.0439512656770882
"890000","020600",408.2,11728.9,0.0348029226952229
"900000","020600",5088.9,11728.9,0.433877004663694
"880000","020701",36.5,1925,0.018961038961039
"890000","020701",31.1,1925,0.0161558441558442
"900000","020701",1576.8,1925,0.819116883116883
"880000","020702",1344.3,7305.2,0.184019602474949
"890000","020702",39.5,7305.2,0.00540710726605706
"900000","020702",4374.4,7305.2,0.598806329737721
"880000","030001",326.1,4340.3,0.0751330553187568
"890000","030001",93.7,4340.3,0.0215883694675483
"900000","030001",1274,4340.3,0.293528097136143
"880000","030002",453,3116.1,0.145374025223838
"890000","030002",64.6,3116.1,0.0207310420076377
"900000","030002",1496.6,3116.1,0.480279836975707
"880000","040001",3087.4,10902.7,0.283177561521458
"890000","040001",0,10902.7,0
"900000","040001",15.6,10902.7,0.00143083823273134
"880000","040002",6853.8,11297.9,0.60664371254835
"890000","040002",0,11297.9,0
"900000","040002",-8.9,11297.9,-0.000787757016790731
"880000","050000",399.5,1522.9,0.262328452294964
"890000","050000",113.9,1522.9,0.0747915161862237
"900000","050000",189,1522.9,0.124105325366078
"880000","060100",553.5,2192.6,0.252440025540454
"890000","060100",107.5,2192.6,0.049028550579221
"900000","060100",335.5,2192.6,0.153014685761197
"880000","060200",882.5,3091.5,0.285460132621705
"890000","060200",279.8,3091.5,0.0905062267507682
"900000","060200",614.5,3091.5,0.198770823224972
"880000","070000",8383,25451.8,0.32936766751271
"890000","070000",2032.6,25451.8,0.0798607564101557
"900000","070000",5072.4,25451.8,0.199294352462301
"880000","080000",11698.8,84228.3,0.138893934698908
"890000","080000",3938.7,84228.3,0.0467621927546917
"900000","080000",39846.9,84228.3,0.473082087611883
"880000","090001",1597,5138.8,0.310772943099556
"890000","090001",332.5,5138.8,0.0647038219039464
"900000","090001",1367.2,5138.8,0.266054331750603
"880000","090002",1065.3,3120.7,0.34136571922966
"890000","090002",137.4,3120.7,0.044028583330663
"900000","090002",968.7,3120.7,0.310411125708976
"880000","090003",370.6,1243.1,0.298125653607916
"890000","090003",46.9,1243.1,0.0377282599951734
"900000","090003",298.9,1243.1,0.240447268924463
"880000","090004",289.2,785.1,0.368360718379824
"890000","090004",30.5,785.1,0.0388485543242899
"900000","090004",170,785.1,0.216532925741944
"880000","100000",685.5,2676.2,0.25614677527838
"890000","100000",140.5,2676.2,0.0524998131679247
"900000","100000",713.1,2676.2,0.266459905836634
"880000","110000",181300,603950,0.300190413113668
"890000","110000",4483.7,603950,0.0074239589369981
"900000","110000",94257.5,603950,0.1560683831443
"880000","110601",6576.2,10815,0.608062875635691
"890000","110601",3.2,10815,0.000295885344429034
"900000","110601",1168,10815,0.107998150716597
"880000","110602",886.1,1719.4,0.515354193323252
"890000","110602",0,1719.4,0
"900000","110602",566.1,1719.4,0.329242759102012
"880000","110603",178.7,565.3,0.316115336989209
"890000","110603",0,565.3,0
"900000","110603",343.5,565.3,0.607641960021228
"880000","120215",1057.3,1763.3,0.599614359439687
"890000","120215",0,1763.3,0
"900000","120215",180.1,1763.3,0.102138036635853
"880000","130100",8465.6,21218.7,0.398968834094454
"890000","130100",58.7,21218.7,0.00276642772648654
"900000","130100",4628.8,21218.7,0.218147200346864
"880000","130200",1415.3,4150.2,0.341019709893499
"890000","130200",26.1,4150.2,0.00628885354922654
"900000","130200",703.5,4150.2,0.169509903137198
"880000","130300",724.5,2398.8,0.302026013006503
"890000","130300",22.8,2398.8,0.00950475237618809
"900000","130300",250,2398.8,0.104218776054694
"880000","130500",434.1,1137.9,0.38149222251516
"890000","130500",82.7,1137.9,0.0726777396959311
"900000","130500",204.7,1137.9,0.179892784954741
"880000","130600",312.5,908.4,0.344011448701013
"890000","130600",43,908.4,0.0473359753412594
"900000","130600",210.4,908.4,0.231616028181418
"880000","130700",1017.8,1623.8,0.62680133021308
"890000","130700",1.3,1623.8,0.000800591205813524
"900000","130700",325.8,1623.8,0.200640472964651
"880000","140101",3093.7,42027.9,0.0736106253227023
"890000","140101",33.6,42027.9,0.000799468924214629
"900000","140101",-2203.6,42027.9,-0.0524318369464094
"880000","140102",2316.9,16543.1,0.140052348108879
"890000","140102",50.5,16543.1,0.00305263221524382
"900000","140102",2322.2,16543.1,0.140372723371073
"880000","140105",2849.9,14671.4,0.194248674291479
"890000","140105",56.3,14671.4,0.00383739793066783
"900000","140105",586,14671.4,0.0399416551930968
"880000","140200",53.7,1375.3,0.0390460263215299
"890000","140200",1.9,1375.3,0.00138151675997964
"900000","140200",48,1375.3,0.0349014760415909
"880000","140300",915.7,11898.3,0.0769605741996756
"890000","140300",31.1,11898.3,0.00261381878083424
"900000","140300",1030.1,11898.3,0.0865753931233874
"880000","140400",545.6,5257.7,0.103771611160774
"890000","140400",17.6,5257.7,0.00334747132776689
"900000","140400",1199.7,5257.7,0.228179622268292
"880000","140500",608.2,3511.3,0.173212200609461
"890000","140500",26.2,3511.3,0.00746162389998006
"900000","140500",418.6,3511.3,0.119215105516475
"880000","140600",2323.9,18517.8,0.125495469224206
"890000","140600",59,18517.8,0.00318612362159652
"900000","140600",1776.1,18517.8,0.0959131214291114
"880000","140700",144.2,748.5,0.192651970607882
"890000","140700",1.5,748.5,0.00200400801603206
"900000","140700",102.8,748.5,0.137341349365397
"880000","140800",740.7,5259.6,0.140828199863107
"890000","140800",25.6,5259.6,0.00486729028823485
"900000","140800",1378.4,5259.6,0.262073161457145
"880000","140900",1715.3,11547.3,0.148545547443991
"890000","140900",94.8,11547.3,0.0082097113610974
"900000","140900",2901.4,11547.3,0.251262199821603
"880000","141000",281.5,1821.1,0.154576904068969
"890000","141000",17,1821.1,0.00933501729723793
"900000","141000",432.8,1821.1,0.237658558014387
"880000","141100",633.9,4917.7,0.128901722349879
"890000","141100",29.2,4917.7,0.00593773512007646
"900000","141100",1343.7,4917.7,0.273237489070094
"880000","141200",658.6,5178.6,0.12717722936701
"890000","141200",10.1,5178.6,0.00195033406712239
"900000","141200",354.4,5178.6,0.0684354844938787
"880000","141301",1172.1,6507,0.180129091747349
"890000","141301",42.1,6507,0.00646995543261103
"900000","141301",1301.6,6507,0.200030736130321
"880000","141302",938.5,5314.6,0.176589018928988
"890000","141302",30.8,5314.6,0.0057953561886125
"900000","141302",1266.8,5314.6,0.238362247393971
"880000","141401",482,4659.5,0.10344457559824
"890000","141401",18.1,4659.5,0.00388453696748578
"900000","141401",265.3,4659.5,0.0569374396394463
"880000","141402",775.9,6257.8,0.123989261401771
"890000","141402",24.1,6257.8,0.00385119371024961
"900000","141402",1989.3,6257.8,0.317891271692927
"880000","141403",378.4,2491.2,0.15189466923571
"890000","141403",7.5,2491.2,0.00301059730250482
"900000","141403",522.2,2491.2,0.209617854849069
"880000","141501",487.5,4586.9,0.106280930475921
"890000","141501",25.5,4586.9,0.00555931020950969
"900000","141501",1296.9,4586.9,0.282739976890711
"880000","141502",1205.9,13798.7,0.0873922905780979
"890000","141502",17.5,13798.7,0.00126823541348098
"900000","141502",-216.8,13798.7,-0.0157116250081529
"880000","141600",126.1,1297.6,0.0971794081381011
"890000","141600",3.5,1297.6,0.00269728729963009
"900000","141600",121,1297.6,0.093249075215783
"880000","141700",401.4,4729.4,0.0848733454560832
"890000","141700",56.7,4729.4,0.0119888357931239
"900000","141700",423.1,4729.4,0.0894616653275257
"880000","141801",6316.8,20730.5,0.304710450785075
"890000","141801",125.2,20730.5,0.00603941053037795
"900000","141801",7704.6,20730.5,0.371655290513977
"880000","141802",1435.2,5844.9,0.245547400297695
"890000","141802",43.6,5844.9,0.00745949460213177
"900000","141802",1916.7,5844.9,0.327926910640045
